date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw
2018-11-30,ZCH04DNH,ST12000NM0007,12000138625024,1,82,163028264,98.0,0.0,100.0,2.0,87.0,11241.0,82.0,145205417.0,90,9277,100.0,0.0,100,1,,,,,99.0,1.0,100.0,0.0,,,70.0,30.0,,,100.0,137.0,100.0,673.0,30,30,100.0,80.0,100.0,80.0,200.0,0.0,100.0,9137.0,100.0,48809165352.0,100.0,73912539176.0
2018-11-29,ZCH04DNH,ST12000NM0007,12000138625024,1,82,148256144,98.0,0.0,100.0,2.0,87.0,11206.0,82.0,142210485.0,90,9252,100.0,0.0,100,1,,,,,99.0,1.0,100.0,0.0,,,69.0,31.0,,,100.0,137.0,100.0,672.0,31,31,100.0,80.0,100.0,80.0,200.0,0.0,100.0,9113.0,100.0,48736362712.0,100.0,73726428928.0
2018-04-02,ZCH04S2S,ST12000NM0007,12000138625024,1,83,194790160,97,0,100,3,88,50304,85,292833839,97,2645,100,0,100,1,,,,,1.0,108.0,100.0,4295098370.0,,,73.0,27.0,,,100.0,4.0,100.0,1171.0,27,27,100,16,100,16,200,0,100.0,2101.0,100.0,19350739992.0,100.0,22103887162.0
2018-04-01,ZCH04S2S,ST12000NM0007,12000138625024,1,82,151314688,97,0,100,3,90,42968,85,290417057,98,2627,100,0,100,1,,,,,1.0,103.0,100.0,4295098370.0,,,72.0,28.0,,,100.0,4.0,100.0,1170.0,28,28,100,8,100,8,200,0,100.0,2083.0,100.0,19230293664.0,100.0,21936717282.0
2018-12-18,ZCH04ZE9,ST12000NM0007,12000138625024,1,78,63679752,97.0,0.0,100.0,3.0,100.0,42.0,82.0,26730167183.0,90,9542,100.0,0.0,100,2,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,96.0,99.0,2512.0,32,32,100.0,0.0,100.0,0.0,200.0,0.0,100.0,8699.0,100.0,44616059880.0,100.0,76543889376.0
2018-12-17,ZCH04ZE9,ST12000NM0007,12000138625024,1,79,76441704,97.0,0.0,100.0,3.0,100.0,16.0,87.0,9548120884.0,90,9520,100.0,0.0,100,2,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,96.0,99.0,2511.0,32,32,100.0,0.0,100.0,0.0,200.0,0.0,100.0,8678.0,100.0,44538109552.0,100.0,76390460760.0
2018-10-28,ZCH057S1,ST12000NM0007,12000138625024,1,81,128483792,89,0,100,8,100,0,87,512212009,95,4985,100,0,100,8,,,,,100.0,0.0,100.0,4295032833.0,,,70.0,30.0,,,100.0,74.0,100.0,605.0,30,30,100,0,100,0,200,0,100.0,4786.0,100.0,36441388991.0,100.0,47428387913.0
2018-10-27,ZCH057S1,ST12000NM0007,12000138625024,1,78,69028456,89,0,100,8,100,0,87,509250339,95,4955,100,0,100,8,,,,,100.0,0.0,100.0,0.0,,,70.0,30.0,,,100.0,74.0,100.0,603.0,30,30,100,0,100,0,200,0,100.0,4764.0,100.0,36338240351.0,100.0,47227940551.0
2018-12-07,ZCH0657N,ST12000NM0007,12000138625024,1,79,78102376,96.0,0.0,100.0,4.0,100.0,0.0,85.0,283817052.0,89,9723,100.0,0.0,100,3,,,,,100.0,0.0,100.0,0.0,,,78.0,22.0,,,100.0,85.0,100.0,489.0,22,22,100.0,0.0,100.0,0.0,200.0,0.0,100.0,9647.0,100.0,54070291928.0,100.0,84435688866.0
2018-12-06,ZCH0657N,ST12000NM0007,12000138625024,1,81,112890864,96.0,0.0,100.0,4.0,100.0,0.0,84.0,281113763.0,89,9699,100.0,0.0,100,3,,,,,100.0,0.0,100.0,0.0,,,78.0,22.0,,,100.0,84.0,100.0,488.0,22,22,100.0,0.0,100.0,0.0,200.0,0.0,100.0,9623.0,100.0,54000389200.0,100.0,84296239450.0
2018-08-02,ZCH065DF,ST12000NM0007,12000138625024,1,84,239821672,98,0,100,2,100,649,89,5159140539,93,6678,100,0,100,1,,,,,99.0,1.0,100.0,8590065666.0,,,70.0,30.0,,,100.0,57.0,100.0,358.0,30,30,100,0,100,0,200,0,100.0,6619.0,100.0,43197559328.0,100.0,61534592180.0
2018-08-01,ZCH065DF,ST12000NM0007,12000138625024,1,83,208124328,98,0,100,2,100,632,89,861340076,93,6654,100,0,100,1,,,,,99.0,1.0,100.0,0.0,,,71.0,29.0,,,100.0,57.0,100.0,357.0,29,29,100,0,100,0,200,0,100.0,6595.0,100.0,43132891848.0,100.0,61323421588.0
2018-05-25,ZCH0661Q,ST12000NM0007,12000138625024,1,76,37524032,98,0,100,2,100,0,88,681865442,95,5025,100,0,100,1,,,,,100.0,0.0,100.0,0.0,,,70.0,30.0,,,100.0,34.0,100.0,283.0,30,30,96,1968,96,1968,200,0,100.0,4971.0,100.0,38180091592.0,100.0,49259859116.0
2018-05-24,ZCH0661Q,ST12000NM0007,12000138625024,1,83,214014776,98,0,100,2,100,0,88,678238030,95,4999,100,0,100,1,,,,,100.0,0.0,100.0,0.0,,,71.0,29.0,,,100.0,34.0,100.0,282.0,29,29,96,1968,96,1968,200,0,100.0,4945.0,100.0,38088919472.0,100.0,49039240708.0
2018-05-13,ZCH066ET,ST12000NM0007,12000138625024,1,81,122076200,97,0,100,3,100,2,88,588291846,95,4826,100,0,100,2,,,,,100.0,0.0,100.0,0.0,,,79.0,21.0,,,100.0,32.0,100.0,1110.0,21,21,100,0,100,0,200,0,100.0,4455.0,100.0,36005741160.0,100.0,43706264014.0
2018-05-12,ZCH066ET,ST12000NM0007,12000138625024,1,82,144453496,97,0,100,3,100,0,88,585752469,95,4803,100,0,100,2,,,,,100.0,0.0,100.0,0.0,,,79.0,21.0,,,100.0,32.0,100.0,1109.0,21,21,100,0,100,0,200,0,100.0,4432.0,100.0,35954665736.0,100.0,43535576102.0
2018-04-14,ZCH0688C,ST12000NM0007,12000138625024,1,81,122105368,98,0,100,2,100,0,84,229438840,98,2000,100,0,100,1,,,,,100.0,0.0,100.0,0.0,,,72.0,28.0,,,100.0,24.0,100.0,93.0,28,28,100,0,100,0,200,0,100.0,1991.0,100.0,27177018968.0,100.0,17134610340.0
2018-04-13,ZCH0688C,ST12000NM0007,12000138625024,1,79,76894344,98,0,100,2,100,0,84,226993202,98,1976,100,0,100,1,,,,,100.0,0.0,100.0,0.0,,,72.0,28.0,,,100.0,23.0,100.0,92.0,28,28,100,0,100,0,200,0,100.0,1967.0,100.0,27089248352.0,100.0,16933029172.0
2018-10-03,ZCH069CE,ST12000NM0007,12000138625024,1,81,132748154,95,0,100,4,100,0,82,167535908,91,8498,100,0,100,3,,,,,100.0,0.0,100.0,0.0,,,78.0,22.0,,,100.0,70.0,100.0,652.0,22,22,100,0,100,0,200,0,100.0,8318.0,100.0,48515080872.0,100.0,98834601007.0
