date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw
2018-11-30,ZCH04DNH,ST12000NM0007,12000138625024,1,82,163028264,98.0,0.0,100.0,2.0,87.0,11241.0,82.0,145205417.0,90,9277,100.0,0.0,100,1,,,,,99.0,1.0,100.0,0.0,,,70.0,30.0,,,100.0,137.0,100.0,673.0,30,30,100.0,80.0,100.0,80.0,200.0,0.0,100.0,9137.0,100.0,48809165352.0,100.0,73912539176.0
2018-11-29,ZCH04DNH,ST12000NM0007,12000138625024,1,82,148256144,98.0,0.0,100.0,2.0,87.0,11206.0,82.0,142210485.0,90,9252,100.0,0.0,100,1,,,,,99.0,1.0,100.0,0.0,,,69.0,31.0,,,100.0,137.0,100.0,672.0,31,31,100.0,80.0,100.0,80.0,200.0,0.0,100.0,9113.0,100.0,48736362712.0,100.0,73726428928.0
2018-11-28,ZCH04DNH,ST12000NM0007,12000138625024,1,81,120793136,98.0,0.0,100.0,2.0,87.0,11182.0,81.0,139115631.0,90,9228,100.0,0.0,100,1,,,,,99.0,1.0,100.0,0.0,,,70.0,30.0,,,100.0,136.0,100.0,671.0,30,30,100.0,80.0,100.0,80.0,200.0,0.0,100.0,9089.0,100.0,48658018504.0,100.0,73533169344.0
2018-04-02,ZCH04S2S,ST12000NM0007,12000138625024,1,83,194790160,97,0,100,3,88,50304,85,292833839,97,2645,100,0,100,1,,,,,1.0,108.0,100.0,4295098370.0,,,73.0,27.0,,,100.0,4.0,100.0,1171.0,27,27,100,16,100,16,200,0,100.0,2101.0,100.0,19350739992.0,100.0,22103887162.0
2018-04-01,ZCH04S2S,ST12000NM0007,12000138625024,1,82,151314688,97,0,100,3,90,42968,85,290417057,98,2627,100,0,100,1,,,,,1.0,103.0,100.0,4295098370.0,,,72.0,28.0,,,100.0,4.0,100.0,1170.0,28,28,100,8,100,8,200,0,100.0,2083.0,100.0,19230293664.0,100.0,21936717282.0
2018-03-31,ZCH04S2S,ST12000NM0007,12000138625024,1,75,30829096,97,0,100,3,93,28552,85,287013396,98,2602,100,0,100,1,,,,,16.0,84.0,100.0,4295098370.0,,,72.0,28.0,,,100.0,4.0,100.0,1169.0,28,28,100,0,100,0,200,0,100.0,2059.0,100.0,19098658200.0,100.0,21703726426.0
2018-12-18,ZCH04ZE9,ST12000NM0007,12000138625024,1,78,63679752,97.0,0.0,100.0,3.0,100.0,42.0,82.0,26730167183.0,90,9542,100.0,0.0,100,2,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,96.0,99.0,2512.0,32,32,100.0,0.0,100.0,0.0,200.0,0.0,100.0,8699.0,100.0,44616059880.0,100.0,76543889376.0
2018-12-17,ZCH04ZE9,ST12000NM0007,12000138625024,1,79,76441704,97.0,0.0,100.0,3.0,100.0,16.0,87.0,9548120884.0,90,9520,100.0,0.0,100,2,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,96.0,99.0,2511.0,32,32,100.0,0.0,100.0,0.0,200.0,0.0,100.0,8678.0,100.0,44538109552.0,100.0,76390460760.0
2018-12-16,ZCH04ZE9,ST12000NM0007,12000138625024,1,77,48106216,97.0,0.0,100.0,3.0,100.0,16.0,87.0,9545009118.0,90,9497,100.0,0.0,100,2,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,96.0,99.0,2510.0,32,32,100.0,0.0,100.0,0.0,200.0,0.0,100.0,8654.0,100.0,44480235416.0,100.0,76175858680.0
2018-10-28,ZCH057S1,ST12000NM0007,12000138625024,1,81,128483792,89,0,100,8,100,0,87,512212009,95,4985,100,0,100,8,,,,,100.0,0.0,100.0,4295032833.0,,,70.0,30.0,,,100.0,74.0,100.0,605.0,30,30,100,0,100,0,200,0,100.0,4786.0,100.0,36441388991.0,100.0,47428387913.0
2018-10-27,ZCH057S1,ST12000NM0007,12000138625024,1,78,69028456,89,0,100,8,100,0,87,509250339,95,4955,100,0,100,8,,,,,100.0,0.0,100.0,0.0,,,70.0,30.0,,,100.0,74.0,100.0,603.0,30,30,100,0,100,0,200,0,100.0,4764.0,100.0,36338240351.0,100.0,47227940551.0
2018-10-26,ZCH057S1,ST12000NM0007,12000138625024,1,74,27383648,89,0,100,8,100,0,87,506761664,95,4930,100,0,100,8,,,,,100.0,0.0,100.0,0.0,,,70.0,30.0,,,100.0,74.0,100.0,602.0,30,30,100,0,100,0,200,0,100.0,4740.0,100.0,36249350991.0,100.0,47031044431.0
2018-12-07,ZCH0657N,ST12000NM0007,12000138625024,1,79,78102376,96.0,0.0,100.0,4.0,100.0,0.0,85.0,283817052.0,89,9723,100.0,0.0,100,3,,,,,100.0,0.0,100.0,0.0,,,78.0,22.0,,,100.0,85.0,100.0,489.0,22,22,100.0,0.0,100.0,0.0,200.0,0.0,100.0,9647.0,100.0,54070291928.0,100.0,84435688866.0
2018-12-06,ZCH0657N,ST12000NM0007,12000138625024,1,81,112890864,96.0,0.0,100.0,4.0,100.0,0.0,84.0,281113763.0,89,9699,100.0,0.0,100,3,,,,,100.0,0.0,100.0,0.0,,,78.0,22.0,,,100.0,84.0,100.0,488.0,22,22,100.0,0.0,100.0,0.0,200.0,0.0,100.0,9623.0,100.0,54000389200.0,100.0,84296239450.0
2018-12-05,ZCH0657N,ST12000NM0007,12000138625024,1,82.0,146699736.0,96.0,0.0,100.0,4.0,100.0,0.0,84.0,278905569.0,89.0,9680.0,100.0,0.0,100.0,3.0,,,,,100.0,0.0,100.0,0.0,,,78.0,22.0,,,100.0,83.0,100.0,487.0,22.0,22.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,9604.0,100.0,53939965800.0,100.0,84146330946.0
2018-08-02,ZCH065DF,ST12000NM0007,12000138625024,1,84,239821672,98,0,100,2,100,649,89,5159140539,93,6678,100,0,100,1,,,,,99.0,1.0,100.0,8590065666.0,,,70.0,30.0,,,100.0,57.0,100.0,358.0,30,30,100,0,100,0,200,0,100.0,6619.0,100.0,43197559328.0,100.0,61534592180.0
2018-08-01,ZCH065DF,ST12000NM0007,12000138625024,1,83,208124328,98,0,100,2,100,632,89,861340076,93,6654,100,0,100,1,,,,,99.0,1.0,100.0,0.0,,,71.0,29.0,,,100.0,57.0,100.0,357.0,29,29,100,0,100,0,200,0,100.0,6595.0,100.0,43132891848.0,100.0,61323421588.0
2018-07-31,ZCH065DF,ST12000NM0007,12000138625024,1,82,176081800,98,0,100,2,100,528,89,857748565,93,6631,100,0,100,1,,,,,99.0,1.0,100.0,0.0,,,70.0,30.0,,,100.0,57.0,100.0,356.0,30,30,100,0,100,0,200,0,100.0,6572.0,100.0,43031940632.0,100.0,61148189452.0
