failure,1_normalized,3_normalized,9_normalized,190_normalized,193_normalized,194_normalized
0,114,98,92,79,87,21
0,119,98,92,78,87,22
0,119,98,91,78,87,22
0,115,98,91,78,87,22
0,118,98,91,78,87,22
0,117,98,91,78,87,22
0,119,98,91,78,87,22
0,114,98,91,79,87,21
0,117,98,91,78,87,22
0,116,98,91,78,87,22
0,114,98,91,80,87,20
0,117,98,91,80,87,20
0,117,98,91,79,87,21
0,114,98,91,80,87,20
0,112,98,91,79,87,21
0,116,98,91,79,87,21
0,118,98,91,78,87,22
0,116,98,91,79,87,21
0,114,98,91,79,86,21
0,120,98,91,80,86,20
0,113,98,91,80,86,20
0,117,98,91,79,86,21
0,102,98,91,79,86,21
0,110,98,91,78,86,22
0,113,98,91,79,86,21
0,116,98,91,79,86,21
0,108,98,91,79,86,21
0,113,98,91,79,86,21
0,117,98,91,81,86,19
0,117,98,91,78,86,22
0,116,98,91,78,86,22
0,110,98,91,78,86,22
0,117,98,91,78,86,22
1,112,97,91,78,86,22
