2019-01-01,Z305D4Y7,ST4000DM000,4000787030016,0,113,56497672,,,94,0,100,6,100,0,82,169015564,,,72,25369,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,70,30,100,0,100,0,97,7228,30,30,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25169,100,41602247600,100,122444857348,,,,,,,,,,
2019-01-02,Z305D4Y7,ST4000DM000,4000787030016,0,117,161397640,,,94,0,100,6,100,0,82,170407957,,,72,25393,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,97,7228,31,31,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25192,100,41620558808,100,122611187290,,,,,,,,,,
2019-01-03,Z305D4Y7,ST4000DM000,4000787030016,0,108,17770464,,,94,0,100,6,100,0,82,171505483,,,71,25418,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,97,7228,31,31,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25217,100,41634043560,100,122747254247,,,,,,,,,,
2019-01-04,Z305D4Y7,ST4000DM000,4000787030016,0,109,24679904,,,94,0,100,6,100,0,82,173201366,,,71,25442,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,97,7228,31,31,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25241,100,41658581224,100,122900795078,,,,,,,,,,
2019-01-05,Z305D4Y7,ST4000DM000,4000787030016,0,113,56707928,,,94,0,100,6,100,0,82,173847591,,,71,25465,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,97,7228,31,31,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25265,100,41686798560,100,122980167579,,,,,,,,,,
2019-01-06,Z305D4Y7,ST4000DM000,4000787030016,0,119,213765112,,,94,0,100,6,100,0,82,174951786,,,71,25489,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,68,32,100,0,100,0,97,7228,32,32,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25288,100,41708265904,100,123022496226,,,,,,,,,,
2019-01-07,Z305D4Y7,ST4000DM000,4000787030016,0,117,155223352,,,94,0,100,6,100,0,82,176897676,,,71,25513,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,97,7228,31,31,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25313,100,41725738072,100,123111670416,,,,,,,,,,
2019-01-08,Z305D4Y7,ST4000DM000,4000787030016,0,119,216741104,,,94,0,100,6,100,0,82,177767351,,,71,25537,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,97,7228,31,31,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25336,100,41742953464,100,123228733187,,,,,,,,,,
2019-01-09,Z305D4Y7,ST4000DM000,4000787030016,0,105,7470432,,,94,0,100,6,100,0,82,178879986,,,71,25560,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,97,7228,31,31,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25360,100,41767440832,100,123366754745,,,,,,,,,,
2019-01-10,Z305D4Y7,ST4000DM000,4000787030016,0,105,9639216,,,94,0,100,6,100,0,82,179807665,,,71,25585,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,97,7228,31,31,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25384,100,41785079056,100,123487433269,,,,,,,,,,
