tag,filename,func,line,message
lderr,osd/ClassHandler.cc,<<register_method>>,237, "register_method " name "." mname
lderr,osd/OSDMap.cc,<<propagate_snaps_to_tiers>>,219, <<propagate_snaps_to_tiers>> " no pool " tier_pool
lderr,osd/OSDMap.cc,<<propagate_snaps_to_tiers>>,227, <<propagate_snaps_to_tiers>> " " r->first " tier_of != " new_pool.first
lderr,osd/OSDMap.cc,<<maybe_remove_pg_upmaps>>,1647, <<maybe_remove_pg_upmaps>> " unable to load crush-rule of pg "
lderr,osd/OSDMap.cc,<<maybe_remove_pg_upmaps>>,1656, <<maybe_remove_pg_upmaps>> " unable to get crush weight_map for "
lderr,osd/OSDMap.cc,<<maybe_remove_pg_upmaps>>,1666, <<maybe_remove_pg_upmaps>> " unable to load failure-domain-type of pg "
lderr,osd/OSDMap.cc,<<maybe_remove_pg_upmaps>>,1683, <<maybe_remove_pg_upmaps>> " unable to get parent of raw osd."
lderr,osd/OSDMap.cc,<<build_simple_optioned>>,3645, "[osd." o "] in config has i...n_max_osd " cct->_conf->mon_max_osd
lderr,osd/OSDMap.cc,<<build_simple_optioned>>,3711, ss.str()
lderr,osd/PG.cc,<<react>>,7883, <<react>> " removed_snaps already contains "
lderr,osd/PG.cc,<<react>>,7887, <<react>> " removed_snaps already contains "
lderr,osd/PG.cc,<<react>>,7900, <<react>> " first mimic map, filtering purged_snaps"
lderr,osd/PG.cc,<<react>>,7920, <<react>> " purged_snaps does not contain "
lderr,osd/PrimaryLogPG.cc,<<react>>,15108, "get_next_objects_to_trim returned "
lderr,osdc/Journaler.cc,<<_set_layout>>,89, "may got older pool id from header layout"
lderr,osdc/Journaler.cc,<<_finish_write_head>>,482, "_finish_write_head got " cpp_strerror(r)
lderr,osdc/Journaler.cc,<<_finish_flush>>,517, "_finish_flush got " cpp_strerror(r)
lderr,osdc/Journaler.cc,<<_finish_prezero>>,832, "_prezeroed got " cpp_strerror(r)
lderr,osdc/Journaler.cc,<<_finish_read>>,939, "_decode error from assimilate_prefetch"
lderr,osdc/Journaler.cc,<<_finish_erase>>,1216, "Failed to delete journal " ino " data: "
lderr,osdc/Journaler.cc,<<try_read_entry>>,1244, <<try_read_entry>> ": decode error from journal_stream"
lderr,osdc/Journaler.cc,<<try_read_entry>>,1258, <<try_read_entry>> ": decode error from _is_readable"
lderr,osdc/Journaler.cc,<<_finish_trim>>,1367, "_finish_trim got " cpp_strerror(r)
lderr,osdc/Journaler.cc,<<handle_write_error>>,1383, "handle_write_error " cpp_strerror(r)
lderr,osdc/Journaler.cc,<<handle_write_error>>,1392, <<handle_write_error>> ": multiple write errors, handler already called"
lderr,osdc/ObjectCacher.cc,<<audit_buffers>>,376, "AUDIT FAILURE: map position " it->first
lderr,osdc/ObjectCacher.cc,<<audit_buffers>>,382, "AUDIT FAILURE: " it->first " " *it->second
lderr,osdc/ObjectCacher.cc,<<audit_buffers>>,393, "AUDIT FAILURE: waiter at " w_it->first
lderr,osdc/Objecter.cc,<<init>>,382, "error registering admin socket command: "
lderr,osdc/Objecter.cc,<<handle_osd_backoff>>,3613, <<handle_osd_backoff>> " got " m->pgid " id " m->id
lderr,osdc/Objecter.cc,<<handle_osd_backoff>>,3643, <<handle_osd_backoff>> " " m->pgid " id " m->id
