tag,filename,func,line,message
dout,osd/ECBackend.cc,<<handle_recovery_push>>,291," __func__ "" Out of space (failsafe) processing push request."""
dout,osd/ECBackend.cc,<<handle_recovery_push>>,306," __func__ "": Adding oid """
dout,osd/ECBackend.cc,<<handle_recovery_push>>,341," __func__ "": Removing oid """
dout,osd/ECBackend.cc,<<continue_recovery_op>>,541," __func__ "": continuing "" op"
dout,osd/ECBackend.cc,<<continue_recovery_op>>,566," __func__ "": canceling recovery op for obj "" op.hoid"
dout,osd/ECBackend.cc,<<continue_recovery_op>>,583," __func__ "": IDLE return "" op"
dout,osd/ECBackend.cc,<<continue_recovery_op>>,609," __func__ "": before_progress="" op.recovery_progress"
dout,osd/ECBackend.cc,<<continue_recovery_op>>,639," __func__ "": READING return "" op"
dout,osd/ECBackend.cc,<<continue_recovery_op>>,650," __func__ "": on_peer_recover on "" *i"
dout,osd/ECBackend.cc,<<continue_recovery_op>>,663," __func__ "": WRITING return "" op"
dout,osd/ECBackend.cc,<<continue_recovery_op>>,668," __func__ "": WRITING continue "" op"
dout,osd/ECBackend.cc,<<run_recovery_op>>,692," __func__ "": starting "" *i"
dout,osd/ECBackend.cc,<<recover_object>>,737," ""checking "" *i"
dout,osd/ECBackend.cc,<<recover_object>>,743," __func__ "": built op "" h->ops.back()"
dout,osd/ECBackend.cc,<<_handle_message>>,756," __func__ "": "" *_op->get_req()"
dout,osd/ECBackend.cc,<<handle_sub_write>>,899," __func__ "": removing object "" *i"
dout,osd/ECBackend.cc,<<handle_sub_write>>,910," __func__ "" missing before "" ge...)->get_log().get_missing().get_items()"
dout,osd/ECBackend.cc,<<handle_sub_write>>,913," __func__ "" is_missing "" pmissing.is_missing(op.soid)"
dout,osd/ECBackend.cc,<<handle_sub_write>>,915," "" add_next_event entry "" e"
dout,osd/ECBackend.cc,<<handle_sub_write>>,917," "" entry is_delete "" e.is_delete()"
dout,osd/ECBackend.cc,<<handle_sub_write>>,944," __func__ "" missing after"" get_...)->get_log().get_missing().get_items()"
dout,osd/ECBackend.cc,<<handle_sub_read>>,972," __func__ "": No hinfo for "" i->first"
dout,osd/ECBackend.cc,<<handle_sub_read>>,981," __func__ "" case1: reading the complete chunk/shard."""
dout,osd/ECBackend.cc,<<handle_sub_read>>,989," __func__ "" case2: going to do fragmented read."""
dout,osd/ECBackend.cc,<<handle_sub_read>>,1008," __func__ "": Error "" r"
dout,osd/ECBackend.cc,<<handle_sub_read>>,1012," __func__ "" read request="" j->g...< "" r="" r "" len="" bl.length()"
dout,osd/ECBackend.cc,<<handle_sub_read>>,1028," __func__ "": Checking hash of "" i->first"
dout,osd/ECBackend.cc,<<handle_sub_read>>,1034," __func__ "": Bad hash for "" i->first "" digest 0x"""
dout,osd/ECBackend.cc,<<handle_sub_read>>,1052," __func__ "": fulfilling attr request on """
dout,osd/ECBackend.cc,<<handle_sub_write_reply>>,1095," __func__ "" Calling on_all_commit on "" i->second"
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1110," __func__ "": reply "" op"
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1114," __func__ "": dropped "" op"
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1124," __func__ "" to_read skipping"""
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1151," __func__ "" to_read skipping"""
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1164," __func__ "" shard="" from "" error="" i->second"
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1189," __func__ "" have shard="" j->first.shard"
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1194," __func__ "" minimum_to_decode failed"""
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1219," __func__ "": Not ignoring errors, use one shard err="" err"
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1225," __func__ "" Error(s) ignored for "" iter->first"
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1235," __func__ "" Complete: "" rop"
dout,osd/ECBackend.cc,<<handle_sub_read_reply>>,1239," __func__ "" readop not complete: "" rop"
dout,osd/ECBackend.cc,<<filter_read_op>>,1319," __func__ "": canceling "" req"
dout,osd/ECBackend.cc,<<on_change>>,1362, __func__
dout,osd/ECBackend.cc,<<on_change>>,1378," __func__ "": cancelling "" i->second"
dout,osd/ECBackend.cc,<<do_read_op>>,1649," __func__ "": starting read "" op"
dout,osd/ECBackend.cc,<<do_read_op>>,1713," __func__ "": started "" op"
dout,osd/ECBackend.cc,<<start_rmw>>,1793," __func__ "": "" *op"
dout,osd/ECBackend.cc,<<try_state_to_reads>>,1807," __func__ "": blocking "" *op"
dout,osd/ECBackend.cc,<<try_state_to_reads>>,1815," __func__ "": invalidating cache after this op"""
dout,osd/ECBackend.cc,<<try_state_to_reads>>,1857," __func__ "": "" *op"
dout,osd/ECBackend.cc,<<try_reads_to_commit>>,1884," __func__ "": starting commit on "" *op"
dout,osd/ECBackend.cc,<<try_reads_to_commit>>,1885," __func__ "": "" cache"
dout,osd/ECBackend.cc,<<try_reads_to_commit>>,1930," __func__ "": "" cache"
dout,osd/ECBackend.cc,<<try_reads_to_commit>>,1931," __func__ "": written: "" written"
dout,osd/ECBackend.cc,<<try_reads_to_commit>>,1932," __func__ "": op: "" *op"
dout,osd/ECBackend.cc,<<try_reads_to_commit>>,1948," __func__ "": written_set: "" written_set"
dout,osd/ECBackend.cc,<<try_reads_to_commit>>,1953," __func__ "": "" hpair"
dout,osd/ECBackend.cc,<<try_finish_rmw>>,2041," __func__ "": "" *op"
dout,osd/ECBackend.cc,<<try_finish_rmw>>,2042," __func__ "": "" cache"
dout,osd/ECBackend.cc,<<try_finish_rmw>>,2073," __func__ "": clearing pipeline_state """
dout,osd/ECBackend.cc,<<send_all_remaining_reads>>,2333," __func__ "" have/error shards="" already_read"
dout,osd/ECBackend.cc,<<be_deep_scrub>>,2398," __func__ "" "" poid "" pos "" pos"
dout,osd/ECBackend.cc,<<be_deep_scrub>>,2430," __func__ "" "" poid "" got """
dout,osd/ECBackend.cc,<<be_deep_scrub>>,2436," __func__ "" "" poid "" got """
dout,osd/ECBackend.cc,<<be_deep_scrub>>,2452," ""_scan_list "" poid "" could not retrieve hash info"""
dout,osd/ECBackend.cc,<<be_deep_scrub>>,2460," ""_scan_list "" poid "" got incorrect size on read 0x"""
dout,osd/ECBackend.cc,<<be_deep_scrub>>,2471," ""_scan_list "" poid "" got incorrect hash on read 0x"""
dout,osd/OSD.cc,<<agent_entry>>,484," __func__ "" start"""
dout,osd/OSD.cc,<<agent_entry>>,489," __func__ "" empty queue"""
dout,osd/OSD.cc,<<agent_entry>>,495, __func__
dout,osd/OSD.cc,<<agent_entry>>,503," __func__ "" oids "" agent_oids"
dout,osd/OSD.cc,<<agent_entry>>,518," ""high_count "" flush_mode_high_count"
dout,osd/OSD.cc,<<agent_entry>>,523," __func__ "" "" pg->pg_id"
dout,osd/OSD.cc,<<agent_entry>>,537," __func__ "" finish"""
dout,osd/OSD.cc,<<promote_throttle_recalibrate>>,576," __func__ "" "" attempts "" attempts, promoted """
dout,osd/OSD.cc,<<promote_throttle_recalibrate>>,591," __func__ "" po "" po "" pb "" pb "" avg_size """
dout,osd/OSD.cc,<<promote_throttle_recalibrate>>,604," __func__ "" new_prob "" new_prob"
dout,osd/OSD.cc,<<promote_throttle_recalibrate>>,621," __func__ "" actual "" actual"
dout,osd/OSD.cc,<<check_full_status>>,695," __func__ "" cur ratio "" ratio"
dout,osd/OSD.cc,<<check_full_status>>,706," __func__ "" "" get_full_state_name(cur_state)"
dout,osd/OSD.cc,<<requeue_pg_temp>>,959," __func__ "" "" old_wanted "" + "" old_pending "" -> """
dout,osd/OSD.cc,<<send_pg_temp>>,978," ""send_pg_temp "" pg_temp_wanted"
dout,osd/OSD.cc,<<send_pg_created>>,998, __func__
dout,osd/OSD.cc,<<note_peer_epoch>>,1022," ""note_peer_epoch osd."" peer "" has "" e"
dout,osd/OSD.cc,<<note_peer_epoch>>,1025," ""note_peer_epoch osd."" peer "" has "" p->second "" >= "" e"
dout,osd/OSD.cc,<<note_peer_epoch>>,1029," ""note_peer_epoch osd."" peer "" now has "" e"
dout,osd/OSD.cc,<<forget_peer_epoch>>,1041," ""forget_peer_epoch osd."" peer "" as_of "" as_of"
dout,osd/OSD.cc,<<forget_peer_epoch>>,1045," ""forget_peer_epoch osd."" peer "" as_of "" as_of"
dout,osd/OSD.cc,<<should_share_map>>,1055," ""should_share_map """
dout,osd/OSD.cc,<<should_share_map>>,1063," ""client session last_sent_epoch: """
dout,osd/OSD.cc,<<should_share_map>>,1082," name "" "" con->get_peer_addr()"
dout,osd/OSD.cc,<<share_map>>,1099," ""share_map """
dout,osd/OSD.cc,<<share_map>>,1113," name "" has old map "" epoch"
dout,osd/OSD.cc,<<share_map>>,1124," name "" "" con->get_peer_addr()"
dout,osd/OSD.cc,<<share_map_peer>>,1145," ""share_map_peer "" con "" already has epoch "" pe"
dout,osd/OSD.cc,<<share_map_peer>>,1147," ""share_map_peer "" con "" don't know epoch, doing nothing"""
dout,osd/OSD.cc,<<can_inc_scrubs_pending>>,1160," __func__ "" "" scrubs_pending "" -> "" (scrubs_pending+1)"
dout,osd/OSD.cc,<<can_inc_scrubs_pending>>,1165," __func__ "" "" scrubs_pending "" + "" scrubs_active"
dout,osd/OSD.cc,<<inc_scrubs_pending>>,1178," ""inc_scrubs_pending "" scrubs_pending "" -> "" (scrubs_pending+1)"
dout,osd/OSD.cc,<<inc_scrubs_pending>>,1183," ""inc_scrubs_pending "" scrubs_pend...>= max "" cct->_conf->osd_max_scrubs"
dout,osd/OSD.cc,<<dec_scrubs_pending>>,1193," ""dec_scrubs_pending "" scrubs_pending "" -> "" (scrubs_pending-1)"
dout,osd/OSD.cc,<<inc_scrubs_active>>,1206," ""inc_scrubs_active "" (scrubs_active-1) "" -> "" scrubs_active"
dout,osd/OSD.cc,<<inc_scrubs_active>>,1211," ""inc_scrubs_active "" (scrubs_active-1) "" -> "" scrubs_active"
dout,osd/OSD.cc,<<dec_scrubs_active>>,1221," ""dec_scrubs_active "" scrubs_active "" -> "" (scrubs_active-1)"
dout,osd/OSD.cc,<<prepare_to_stop>>,1266," __func__ "" telling mon we are shutting down"""
